step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0338,2026-05-01T13:55:22.317603+00:00,
2,missing_value_analysis,success,0.0081,2026-05-01T13:55:22.351650+00:00,
3,duplicate_analysis,success,0.0255,2026-05-01T13:55:22.359784+00:00,
4,numeric_summary,success,0.0203,2026-05-01T13:55:22.385019+00:00,
5,categorical_summary,success,0.0231,2026-05-01T13:55:22.405215+00:00,
6,correlation_analysis,success,0.004,2026-05-01T13:55:22.427921+00:00,
7,outlier_detection,success,0.0091,2026-05-01T13:55:22.432020+00:00,
8,visualization_recommendation,success,0.0006,2026-05-01T13:55:22.441766+00:00,
9,chart_generation,success,1.4157,2026-05-01T13:55:22.442667+00:00,
10,insight_generation,success,0.0038,2026-05-01T13:55:23.857528+00:00,
