step,tool_name,status,runtime_seconds,started_at_utc,error_message
1,dataset_overview,success,0.0196,2026-05-01T13:55:30.496697+00:00,
2,missing_value_analysis,success,0.0051,2026-05-01T13:55:30.516235+00:00,
3,duplicate_analysis,success,0.0259,2026-05-01T13:55:30.521319+00:00,
4,numeric_summary,success,0.0288,2026-05-01T13:55:30.547258+00:00,
5,categorical_summary,success,0.0118,2026-05-01T13:55:30.576044+00:00,
6,correlation_analysis,success,0.0075,2026-05-01T13:55:30.587823+00:00,
7,outlier_detection,success,0.0133,2026-05-01T13:55:30.595822+00:00,
8,visualization_recommendation,success,0.0014,2026-05-01T13:55:30.608924+00:00,
9,chart_generation,success,1.2628,2026-05-01T13:55:30.609825+00:00,
10,insight_generation,success,0.004,2026-05-01T13:55:31.872750+00:00,
